DAYTON_MW
1384929
1389752
1609563
1651454
1448563
1549617
1342504
1364190
1661649
1780733
1835677
1546943
1439729
1447304
1689285
1556215
1475218
1545849
1318377
1420201
1548908
1776279
1823546
1404713
1456739
1466723
1568846
1663133
1650459
1532410
1399991
1486747
1637193
1645811
1927666
1557624
1500002
1448459
1622906
1726859
1619957
1560552
1358652
1351020
1576367
1734451
1671044
1453460
1417836
1447692
1647625
1727262
1431514
1392995
1297973
1301883
1491808
1454035
1582190
1336168
1316874
1316695
1565116
1659145
1468915
1410271
1220697
1352033
1568721
1738551
1725704
1383645
1275925
1329946
1615899
1631980
1409602
1436782
1226839
1326284
1466695
1819070
1656780
1328160
1311985
1317993
1487079
1579600
1422602
1358005
1242824
1432200
1514979
1794555
1607423
1321187
1324930
1361958
1447956
1577965
1436935
1487516
1278937
1352404
1445428
1587871
1570461
1372118
1357557
1406164
1547962
1775119
1532081
1506658
1256449
1348318
1497047
1490240
1590530
1358374
1323538
1433280
1517496
1664279
1580395
1475186
1247370
1372947
1484807
1595928
1552684
1436325
1317206
1293235
1412565
1618977
1451230
1368637
1292272
1330571
1548462
1688295
1786811
1499183
1330357
1325671
1584793
1554634
1320715
1445185
1245831
1347307
1493587
1613486
1577404
1371925
1339642
1390961
1595172
1713149
1392390
1477848
1327017
1464981
1524912
1599236
